Life Ladder;Log GDP per capita;Social support;Healthy life expectancy at birth;Freedom to make life choices;Generosity;Perceptions of corruption;Positive affect
0.26;0.97;0.0;0.99;0.92;0.0;0.14;0.73
0.8;0.99;0.0;1.0;0.34;0.7;0.85;0.72
0.64;0.99;0.0;1.0;0.23;0.01;0.22;0.73
0.49;0.99;0.0;1.0;0.64;0.07;0.78;0.73
0.57;0.98;0.0;1.0;0.01;0.08;0.03;0.74
0.48;0.98;0.0;1.0;0.0;0.01;0.04;0.72
0.43;0.97;0.0;1.0;0.17;0.0;0.5;0.72
0.5;0.97;0.0;1.0;0.19;0.0;0.55;0.72
0.71;0.98;0.0;1.0;0.03;0.72;0.78;0.68
0.78;0.99;0.0;1.0;0.01;0.0;0.6;0.7
0.8;0.99;0.0;1.0;0.7;0.0;0.38;0.68
0.85;0.98;0.0;1.0;0.99;0.0;0.9;0.66
0.75;0.98;0.0;1.0;0.0;0.03;0.91;0.68
0.88;0.99;0.29;1.0;0.16;0.07;0.87;0.63
0.92;0.98;0.9;1.0;0.08;0.0;0.97;0.62
0.83;0.98;0.0;1.0;0.0;0.05;0.99;0.67
0.7;0.98;0.01;1.0;0.0;0.39;0.92;0.69
0.45;0.96;0.26;1.0;0.0;0.0;0.0;0.69
0.49;0.94;0.06;1.0;0.0;0.0;0.0;0.68
0.47;0.94;0.0;1.0;0.0;0.0;0.0;0.64
0.63;0.93;0.13;1.0;0.0;0.0;0.0;0.68
0.52;0.93;0.36;1.0;0.0;0.0;0.0;0.66
0.73;0.93;0.0;1.0;0.0;0.06;0.0;0.7
0.9;0.92;0.0;1.0;0.0;0.0;0.0;0.72
0.89;0.91;0.0;1.0;0.04;0.0;0.0;0.76
0.96;0.9;0.0;1.0;0.01;0.0;0.0;0.74
0.96;0.89;0.0;1.0;0.44;0.0;0.0;0.75
0.96;0.87;0.0;1.0;0.0;0.0;0.0;0.74
0.99;0.88;0.0;1.0;0.0;0.9;0.0;0.74
1.0;0.86;0.0;1.0;0.0;0.79;0.0;0.72
1.0;0.82;0.0;1.0;0.92;0.0;0.0;0.78
1.0;0.79;0.0;1.0;0.96;0.0;0.0;0.74
0.44;0.31;0.77;0.96;0.0;0.62;0.32;0.72
0.53;0.32;0.06;0.96;0.0;0.06;0.04;0.68
0.46;0.33;0.0;0.97;0.0;0.0;0.0;0.64
0.54;0.35;0.08;0.97;0.0;0.35;0.84;0.72
0.87;0.36;0.0;0.97;0.46;0.0;0.5;0.74
0.5;0.37;0.0;0.97;0.0;0.02;0.82;0.62
0.25;0.38;0.0;0.98;0.92;0.79;0.87;0.67
0.31;0.39;0.0;0.98;0.13;0.97;0.28;0.7
0.72;0.39;0.0;0.98;0.0;1.0;0.28;0.61
0.62;0.4;0.02;0.98;0.0;0.99;0.74;0.64
0.82;0.42;0.35;0.98;0.0;0.04;0.84;0.62
0.92;0.43;0.0;0.98;0.35;0.83;0.96;0.66
0.85;0.44;0.0;0.99;0.0;0.96;0.87;0.64
0.82;0.44;0.0;0.99;1.0;0.0;0.19;0.61
0.81;0.46;0.0;0.99;0.0;0.05;0.95;0.63
0.74;0.46;0.0;0.99;0.21;0.0;0.02;0.65
0.34;0.14;0.0;0.96;0.0;0.7;0.0;0.62
0.43;0.13;0.0;0.97;0.0;0.72;0.69;0.79
0.4;0.14;0.0;0.97;0.0;0.06;0.12;0.75
0.14;0.14;0.0;0.98;0.0;0.08;0.2;0.71
0.42;0.12;0.0;0.99;0.0;0.58;0.0;0.64
0.74;0.54;0.0;0.99;0.0;0.3;0.0;0.64
0.58;0.53;0.77;1.0;0.0;0.0;0.0;0.79
0.59;0.55;0.0;1.0;0.0;0.0;0.0;0.61
0.6;0.58;0.0;1.0;0.0;0.0;0.71;0.67
0.48;0.6;0.0;1.0;0.0;0.0;0.0;0.67
0.38;0.63;0.0;1.0;0.0;0.0;0.16;0.6
0.47;0.65;0.0;1.0;0.0;0.0;0.02;0.59
0.6;0.68;0.0;1.0;0.0;0.0;0.07;0.65
0.74;0.7;0.0;1.0;0.0;0.03;0.02;0.64
0.79;0.73;0.02;1.0;0.0;0.01;0.09;0.62
0.94;0.77;0.01;1.0;0.0;0.97;0.06;0.64
0.7;0.76;0.0;1.0;0.0;0.21;0.0;0.66
0.78;0.76;0.0;1.0;0.0;0.91;0.02;0.66
0.64;0.78;0.32;1.0;0.0;0.0;0.0;0.66
0.63;0.8;0.0;1.0;0.0;0.03;0.31;0.63
0.46;0.64;0.0;0.95;0.0;0.74;0.0;0.68
0.69;0.64;0.0;0.95;0.0;0.28;0.0;0.72
0.66;0.64;0.0;0.96;0.0;0.01;0.0;0.66
0.85;0.64;0.0;0.96;0.03;0.58;0.0;0.7
0.78;0.64;0.01;0.96;0.08;0.95;0.0;0.68
0.73;0.64;0.0;0.96;0.0;0.35;0.0;0.69
0.64;0.65;0.0;0.97;0.67;0.29;0.0;0.68
0.65;0.66;0.01;0.97;0.06;0.33;0.0;0.7
0.64;0.67;0.17;0.97;0.06;0.01;0.01;0.74
0.95;0.68;0.0;0.97;0.09;0.3;0.0;0.64
0.88;0.69;0.0;0.98;0.18;0.9;0.0;0.63
0.95;0.69;0.0;0.98;0.64;0.39;0.02;0.63
0.99;0.7;0.0;0.98;0.0;0.57;0.0;0.64
0.92;0.7;0.0;0.98;0.16;0.85;0.12;0.65
0.98;0.69;0.0;0.99;0.0;0.28;0.03;0.62
0.93;0.69;0.0;0.99;0.21;0.54;0.01;0.64
0.84;0.7;0.0;0.99;0.0;0.71;0.01;0.62
0.92;0.7;0.0;0.99;0.88;0.56;0.01;0.62
0.32;0.6;0.0;0.99;0.0;0.0;0.0;0.77
